iter	MultiClass
0	1.083665333
1	1.071051051
2	1.058546792
3	1.046685068
4	1.036081962
5	1.026476309
6	1.016935898
7	1.008586814
8	0.9989453391
9	0.9916023946
10	0.9832993087
11	0.9762585709
12	0.9703094892
13	0.9645574258
14	0.9594815513
15	0.9533369062
16	0.9477381067
17	0.942643131
18	0.9381830359
19	0.9331024539
20	0.9281619054
21	0.9238725315
22	0.9199789682
23	0.915602266
24	0.9119899048
25	0.9079071514
26	0.9038506186
27	0.9001753403
28	0.8962127625
29	0.8930546392
30	0.8905087287
31	0.8875172261
32	0.883840594
33	0.8810533128
34	0.8786081483
35	0.876666954
36	0.8732451754
37	0.870659191
38	0.8688136321
39	0.8656740925
40	0.8618564543
41	0.859691494
42	0.8577062969
43	0.8554652577
44	0.8530011334
45	0.850260285
46	0.8482590617
47	0.8463852128
48	0.8442098908
49	0.8422289086
50	0.8408063636
51	0.8387230736
52	0.8369619546
53	0.8359872269
54	0.8338578026
55	0.8322247181
56	0.8294750254
57	0.8276569746
58	0.8260738338
59	0.8244016745
60	0.8217560332
61	0.8204045363
62	0.8181380505
63	0.8154880295
64	0.8139287737
65	0.8124251834
66	0.8109011203
67	0.8090485065
68	0.8075098697
69	0.8060347261
70	0.8044957264
71	0.8021604295
72	0.8004410313
73	0.7990625687
74	0.7974566184
75	0.7962070803
76	0.7943196536
77	0.792535334
78	0.7908043346
79	0.7895171371
80	0.7878596331
81	0.7852417702
82	0.7833075084
83	0.7817218604
84	0.7803111097
85	0.7780201654
86	0.7766040043
87	0.7743940519
88	0.7727914148
89	0.7713920358
90	0.7701288859
91	0.7684777612
92	0.7674138127
93	0.7649653007
94	0.7638539382
95	0.7625630634
96	0.761543994
97	0.760275895
98	0.7587850528
99	0.7577607396
100	0.7566997097
101	0.7551059798
102	0.753632294
103	0.7523528769
104	0.7512532597
105	0.7500246509
106	0.7486888179
107	0.747464284
108	0.7459275744
109	0.7446048281
110	0.7435097417
111	0.7425518454
112	0.7411427415
113	0.7393692419
114	0.7383138216
115	0.7369764464
116	0.7352977129
117	0.7342299407
118	0.7328904916
119	0.7311870374
120	0.7299088942
121	0.7287999241
122	0.7273034232
123	0.7263018175
124	0.7246420846
125	0.7237167521
126	0.7225312907
127	0.7211592159
128	0.7203682657
129	0.7187297668
130	0.7178222803
131	0.7167766156
132	0.7150821723
133	0.7138421283
134	0.7126363105
135	0.711334771
136	0.7102725006
137	0.7090736545
138	0.7081758039
139	0.7075137538
140	0.7062195414
141	0.7045449612
142	0.7034027486
143	0.7023162003
144	0.7004363411
145	0.6991310067
146	0.6979457977
147	0.6973639713
148	0.6956556324
149	0.694729886
150	0.6935726025
151	0.6930535619
152	0.6917200503
153	0.6901134775
154	0.6891591246
155	0.6882264611
156	0.6871939229
157	0.6859493716
158	0.6846581493
159	0.6833008875
160	0.6824711116
161	0.6813842272
162	0.6798858616
163	0.6787156826
164	0.6773324705
165	0.676203442
166	0.6755427939
167	0.6742692767
168	0.6731728276
169	0.6716754477
170	0.6701410239
171	0.6690247818
172	0.6682581444
173	0.6671986796
174	0.6654222604
175	0.6641555368
176	0.6623657941
177	0.661084966
178	0.6597457687
179	0.6583986663
180	0.6572762162
181	0.6560410769
182	0.6548040506
183	0.6534899212
184	0.6517402694
185	0.6506843597
186	0.6498756534
187	0.6484570421
188	0.6472623362
189	0.6453400098
190	0.6442597939
191	0.6433704423
192	0.641860156
193	0.6408394808
194	0.639931867
195	0.6390103298
196	0.6377463431
197	0.6365291825
198	0.6355434796
199	0.6347110299
200	0.6338011229
201	0.6323994651
202	0.6312339033
203	0.6306710496
204	0.629303964
205	0.6278195483
206	0.6265158004
207	0.6252718438
208	0.6244168582
209	0.6236332562
210	0.6222792037
211	0.6212534505
212	0.6200503263
213	0.6193466917
214	0.6184553744
215	0.6177985152
216	0.6166520238
217	0.615329772
218	0.6144262235
219	0.6136296836
220	0.6122065646
221	0.6105855606
222	0.6098453355
223	0.6090319275
224	0.6082152909
225	0.6072426449
226	0.6056638526
227	0.604368671
228	0.6024507338
229	0.6013986835
230	0.6007843231
231	0.6000185586
232	0.5990880713
233	0.5979522193
234	0.5964877546
235	0.5950766352
236	0.5940996157
237	0.5918560627
238	0.5908058959
239	0.5900451834
240	0.5891084826
241	0.5875532958
242	0.5867716965
243	0.5855214278
244	0.5842068518
245	0.5832028494
246	0.582313105
247	0.5810208549
248	0.57988618
249	0.578566772
250	0.5772986471
251	0.57662532
252	0.5759429459
253	0.5748771546
254	0.5737702582
255	0.5728786283
256	0.5710641888
257	0.5696661546
258	0.5685267253
259	0.5668836473
260	0.5662353128
261	0.5647129273
262	0.5636889444
263	0.5625171279
264	0.5614270009
265	0.5602096284
266	0.559592777
267	0.5585521205
268	0.5581784158
269	0.5571116265
270	0.5557030442
271	0.554640793
272	0.5533786222
273	0.552642686
274	0.5518713907
275	0.5508353117
276	0.5489048559
277	0.5474288531
278	0.5461453487
279	0.5445412699
280	0.5442049159
281	0.5434044526
282	0.5429962762
283	0.5420230002
284	0.5413124349
285	0.5407945483
286	0.5396107039
287	0.538775089
288	0.5377538967
289	0.5370244014
290	0.5362450419
291	0.5358977194
292	0.5345377798
293	0.5339576604
294	0.5330563282
295	0.5319292218
296	0.5312272879
297	0.5306233795
298	0.5292362868
299	0.5281100037
